,University,Rank,Small,Medium,Large,Public,Private,Liberal Arts,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost,Latitude,Longitude
31,Carleton College,32.0,True,False,False,False,True,True,74275.0,74275.0,225.0,11.0,True,True,False,29.0,46915.0,27360.0,60513.0,44.47183535,-93.14145805901515
32,Middlebury College,33.0,True,False,False,False,True,True,72000.0,72000.0,274.0,11.0,True,True,False,52.0,61036.0,10964.0,40368.0,44.00366955,-73.1773487
33,Barnard College,34.0,True,False,False,False,True,True,78044.0,78044.0,249.0,9.0,True,True,False,12.0,62097.0,15947.0,70562.0,40.80970505,-73.96338868739625
34,Williams College,35.0,True,False,False,False,True,True,75520.0,75520.0,158.0,8.0,True,True,False,59.0,66066.0,9454.0,36215.0,42.709741525,-73.23983628229884
35,Washington & Lee University,36.0,True,False,False,False,True,True,70500.0,70500.0,69.0,4.0,True,True,False,99.0,60681.0,9819.0,10698.0,37.7929993,-79.44773490479687
36,Georgia Institute of Technology,38.0,False,True,False,True,False,False,31080.0,31080.0,1375.0,10.0,False,True,True,0.0,0.0,31080.0,31080.0,33.776033,-84.39884086001581
37,Wellesley College,39.0,True,False,False,False,True,True,74948.0,74948.0,324.0,14.0,True,True,False,27.0,64514.0,10434.0,57227.0,42.291776049999996,-71.3032751636105
38,Swarthmore College,40.0,True,False,False,False,True,True,73524.0,73524.0,210.0,13.0,True,True,False,34.0,63252.0,10272.0,51838.0,39.902672700000004,-75.35263152787849
39,University of California - Berkeley,41.0,False,False,True,True,False,False,36410.0,36410.0,4000.0,14.0,False,True,True,0.0,0.0,36410.0,36410.0,37.87094645,-122.26639872292523
40,Wake Forest University,42.0,False,True,False,False,True,False,68900.0,68900.0,521.0,10.0,False,True,False,15.0,14280.0,54620.0,66762.0,36.134113975000005,-80.27683649563843
41,University of North Carolina at Chapel Hill,43.0,False,False,True,True,False,False,24294.0,24294.0,656.0,4.0,False,True,True,0.0,0.0,24294.0,24294.0,35.907407725,-79.04780578262555
42,Northeastern University,44.0,False,True,False,False,True,False,73236.0,73236.0,3214.0,18.0,False,True,False,14.0,18031.0,55205.0,70622.0,42.33835965,-71.0886398373512
43,Davidson College,45.0,True,False,False,False,True,True,70627.0,70627.0,121.0,7.0,True,True,False,55.0,48450.0,22177.0,44200.0,35.5032193,-80.83393027613258
44,New York University,46.0,False,False,True,False,True,False,76612.0,76612.0,5394.0,21.0,True,True,False,14.0,20376.0,56236.0,73669.0,40.72925325,-73.99625393609625
45,Bates College,47.0,True,False,False,False,True,True,73538.0,73538.0,142.0,8.0,True,True,False,56.0,59258.0,14280.0,40153.0,44.1060827,-70.20232303437507
46,Boston College,48.0,False,True,False,False,True,False,,,,,False,True,False,,,,,42.33780915,-71.1675918201153
47,Claremont McKenna College,49.0,True,False,False,False,True,True,73000.0,73000.0,212.0,16.0,True,True,False,15.0,51364.0,21636.0,65489.0,34.101518125,-117.70533119160152
48,Harvey Mudd College,50.0,True,False,False,False,True,True,77753.0,77753.0,83.0,10.0,True,True,False,31.0,31465.0,46288.0,67896.0,34.10599325,-117.70870925266648
49,University of Texas - Austin,51.0,False,False,True,True,False,False,26506.0,26506.0,2160.0,6.0,True,True,False,25.0,8028.0,18478.0,24477.0,30.2843045,-97.73308329040108
50,Colby College,52.0,True,False,False,False,True,True,74100.0,74100.0,198.0,10.0,True,True,False,52.0,48097.0,26003.0,49323.0,44.56095155,-69.6687025
