Institution,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
U. of Arizona ,29217.0,29217.0,2196.0,7.0,True,True,False,12.0,11641.0,17576.0,27812.0
Cal. Poly State U. - SLO,28340.0,28340.0,438.0,2.0,False,True,False,7.0,10567.0,17773.0,27568.0
Lindenwood U.,30000.0,30000.0,276.0,22.0,True,True,False,100.0,12114.0,17886.0,17930.0
Belmont U.,48170.0,48170.0,60.0,1.0,False,True,False,60.0,30271.0,17899.0,30007.0
U. of Wisconsin - Milwaukee,23180.0,23180.0,660.0,4.0,False,True,False,5.0,5241.0,17939.0,22926.0
Towson U.,27154.0,27154.0,334.0,2.0,False,True,False,28.0,9210.0,17944.0,24562.0
Catawba C.,45842.0,45842.0,53.0,4.0,True,True,False,89.0,27869.0,17973.0,21128.0
Vanderbilt U.,71110.0,71110.0,599.0,9.0,True,True,False,27.0,53134.0,17976.0,56740.0
U. of Nevada - Las Vegas,25302.0,25302.0,858.0,5.0,True,True,False,29.0,7309.0,17993.0,23189.0
U. of Cincinnati,27476.0,27476.0,1162.0,5.0,False,True,False,38.0,9445.0,18031.0,23916.0
U. of Iowa,24239.0,24239.0,1737.0,8.0,False,True,False,51.0,6140.0,18099.0,21082.0
Old Dominion U.,28108.0,28108.0,261.0,2.0,True,True,False,10.0,10000.0,18108.0,27150.0
U. of Portland,52398.0,52398.0,97.0,3.0,True,True,False,88.0,34252.0,18146.0,22383.0
SUNY Stony Brook,26091.0,26091.0,2352.0,15.0,False,True,False,2.0,7890.0,18201.0,25910.0
Cal. State U. - LB,25222.0,25222.0,1960.0,7.0,True,True,False,4.0,7013.0,18209.0,24964.0
U. of Nebraska - Lincoln,25124.0,25124.0,1862.0,10.0,True,True,False,19.0,6800.0,18324.0,23820.0
Pitzer C.,76075.0,76075.0,106.0,10.0,True,True,False,17.0,57687.0,18388.0,66279.0
U. of Texas - Austin ,26506.0,26506.0,2160.0,6.0,True,True,False,25.0,8028.0,18478.0,24477.0
U. of North Florida,21384.0,21384.0,209.0,2.0,False,True,False,51.0,2780.0,18604.0,19961.0
Columbia C. (MO),36760.0,36760.0,65.0,7.0,False,True,False,82.0,18059.0,18701.0,22035.0
Bryn Mawr C.,73990.0,73990.0,291.0,22.0,True,True,False,40.0,55060.0,18930.0,52042.0
Indiana U. - Bloomington,24779.0,24779.0,3056.0,10.0,True,True,False,34.0,5745.0,19034.0,22820.0
St. Olaf C.,63280.0,63280.0,301.0,10.0,True,True,False,93.0,44180.0,19100.0,22036.0
Arizona State U.,28048.0,28048.0,4505.0,12.0,False,True,False,30.0,8772.0,19276.0,25423.0
U. of Texas - Dallas,29286.0,29286.0,837.0,5.0,False,True,False,30.0,9797.0,19489.0,26313.0
Queens U. of Charlotte,50590.0,50590.0,147.0,10.0,True,True,False,92.0,30949.0,19641.0,22167.0
Northwestern U.,78599.0,78599.0,780.0,9.0,True,True,False,23.0,58827.0,19772.0,64948.0
Louisiana State U.,30359.0,30359.0,442.0,2.0,False,True,False,7.0,10495.0,19864.0,29623.0
U. of North Carolina - Asheville,20275.0,20275.0,30.0,1.0,False,True,True,0.0,0.0,20275.0,20275.0
Michigan Technological U.,30542.0,30542.0,113.0,2.0,True,True,False,85.0,9883.0,20659.0,22146.0
Rhodes C.,63037.0,63037.0,85.0,4.0,True,True,False,96.0,42376.0,20661.0,22157.0
C. of the Holy Cross,71710.0,71710.0,97.0,3.0,True,True,False,9.0,50978.0,20732.0,66980.0
Northern Arizona U.,27266.0,27266.0,1198.0,5.0,False,True,False,11.0,6465.0,20801.0,26543.0
Mississippi State U.,25177.0,25177.0,236.0,1.0,False,True,False,64.0,4320.0,20857.0,22413.0
U. of Cal. - Riverside,36953.0,36953.0,697.0,3.0,False,True,False,53.0,16083.0,20870.0,28438.0
George Mason U.,29318.0,29318.0,1380.0,7.0,False,True,False,4.0,8420.0,20898.0,28958.0
Purdue U. - W. Lafayette,22812.0,22812.0,4653.0,16.0,False,True,False,9.0,1859.0,20953.0,22647.0
Muskingum U.,44288.0,44288.0,14.0,1.0,True,True,False,100.0,23319.0,20969.0,20969.0
Slippery Rock U.,24972.0,24972.0,67.0,1.0,True,True,False,64.0,3942.0,21030.0,22442.0
Miami U. (Ohio),32766.0,32766.0,2344.0,14.0,False,True,False,21.0,11734.0,21032.0,30278.0
SUNY Buffalo,28329.0,28329.0,3210.0,17.0,True,True,False,4.0,6968.0,21361.0,28036.0
U. of Central Florida,22155.0,22155.0,1335.0,3.0,False,True,False,8.0,684.0,21471.0,22103.0
San Jose State U.,30373.0,30373.0,2213.0,10.0,True,True,False,18.0,8880.0,21493.0,28780.0
Cal. Inst. of Technology,74763.0,74763.0,83.0,9.0,True,True,False,35.0,53060.0,21703.0,56224.0
U. of Illinois - Chicago,26200.0,26200.0,1022.0,6.0,False,True,False,2.0,4311.0,21889.0,26120.0
U. of Louisville,21914.0,21914.0,183.0,2.0,False,True,True,0.0,0.0,21914.0,21914.0
Luther C.,57885.0,57885.0,176.0,9.0,True,True,False,99.0,35874.0,22011.0,22215.0
U. of North Carolina - Wilming.,24982.0,24982.0,163.0,1.0,False,True,False,52.0,2952.0,22030.0,23443.0
Salisbury U.,25774.0,25774.0,87.0,1.0,True,True,False,20.0,3712.0,22062.0,25049.0
Wagner C.,64382.0,64382.0,78.0,5.0,False,True,False,96.0,42253.0,22129.0,23754.0
Villanova U.,70818.0,70818.0,160.0,2.0,True,True,False,53.0,48642.0,22176.0,45281.0
Davidson C.,70627.0,70627.0,121.0,7.0,True,True,False,55.0,48450.0,22177.0,44200.0
U. of Houston,25202.0,25202.0,1481.0,5.0,True,True,False,31.0,2995.0,22207.0,24268.0
Wells C.,45905.0,45905.0,6.0,1.0,True,True,False,67.0,23500.0,22405.0,30238.0
Connecticut C.,74590.0,74590.0,132.0,7.0,True,True,False,74.0,52032.0,22558.0,35960.0
Lehigh U.,71465.0,71465.0,459.0,9.0,True,True,False,22.0,48706.0,22759.0,60748.0
Texas Tech U.,26712.0,26712.0,837.0,3.0,True,True,False,34.0,3715.0,22997.0,25443.0
Meredith C.,52320.0,52320.0,22.0,1.0,True,True,False,100.0,29186.0,23134.0,23134.0
U. of Notre Dame,74193.0,74193.0,541.0,6.0,True,True,False,43.0,51006.0,23187.0,52414.0
Goshen C.,48100.0,48100.0,64.0,8.0,True,True,False,89.0,24546.0,23554.0,26239.0
U. of Mary Washington,27649.0,27649.0,39.0,1.0,False,True,False,21.0,4001.0,23648.0,26828.0
U. of Colorado - Denver,25815.0,25815.0,919.0,10.0,True,True,False,29.0,2159.0,23656.0,25195.0
Rice U.,67402.0,67402.0,463.0,12.0,True,True,False,26.0,43656.0,23746.0,55899.0
Wittenberg U.,53904.0,53904.0,14.0,1.0,True,True,False,79.0,30103.0,23801.0,30252.0
Wabash C.,58770.0,58770.0,50.0,6.0,True,True,False,100.0,34818.0,23952.0,23952.0
