,University,Cluster,Rank,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
38,Rice University,2,40,ART,COFFEE,STADIUM,THEATER,PUB,VENUE,Park,Salon / Barbershop,Smoke Shop,Student Center,67402.0,67402.0,463.0,12.0,True,True,False,26.0,43656.0,23746.0,55899.0
39,Smith College,2,41,RESTAURANT,COMMON_RESTAURANT,NOVEL_RESTAURANT,SELF_CARE,FANCY_BAR,Tea Room,MUSEUM,BOOKSTORE,VENUE,COFFEE,75229.0,75229.0,344.0,14.0,True,True,False,45.0,59322.0,15907.0,48327.0
40,Southern Methodist University,1,42,EASY_FOOD,COMMON_RESTAURANT,SWEETS,RESTAURANT,SQUARE,COFFEE,SELF_CARE,Salon / Barbershop,CONVENIENCE,GYM,76710.0,76710.0,521.0,8.0,False,True,False,47.0,32551.0,44159.0,61465.0
41,Stanford University,4,43,COFFEE,ART,EASY_FOOD,BEAUTY,SQUARE,MUSEUM,STADIUM,HISTORIC,GYM,CONVENIENCE,75470.0,75470.0,739.0,11.0,True,True,False,27.0,60250.0,15220.0,59083.0
42,Swarthmore College,2,44,EASY_FOOD,TRAIL,SWEETS,FANCY_FOOD,COMMON_RESTAURANT,RESTAURANT,PUB,BREAKFAST,GYM,GROCERY,73524.0,73524.0,210.0,13.0,True,True,False,34.0,63252.0,10272.0,51838.0
43,Tufts University,1,45,COMMON_RESTAURANT,COFFEE,EASY_FOOD,RESTAURANT,SWEETS,SQUARE,LIQUOR,VENUE,THEATER,Salon / Barbershop,74000.0,74000.0,588.0,11.0,True,True,False,29.0,60243.0,13757.0,56788.0
44,University of California - Berkeley,0,46,RESTAURANT,COMMON_RESTAURANT,COFFEE,EASY_FOOD,NOVEL_RESTAURANT,SWEETS,PUB,GYM,BREAKFAST,THEATER,36410.0,36410.0,4000.0,14.0,False,True,True,0.0,0.0,36410.0,36410.0
45,University of California - Los Angeles,3,47,COFFEE,EASY_FOOD,SQUARE,COMMON_RESTAURANT,ART,BEAUTY,VENUE,MUSEUM,RESTAURANT,GYM,34831.0,34831.0,3645.0,12.0,False,True,False,3.0,26372.0,8459.0,34013.0
46,University of California - Santa Barbara,2,48,EASY_FOOD,COMMON_RESTAURANT,BEAUTY,GYM,COFFEE,SWEETS,NOVEL_RESTAURANT,JUICE,THEATER,MUSEUM,36685.0,36685.0,2743.0,12.0,False,True,False,3.0,22215.0,14470.0,36045.0
47,University of Chicago,5,49,COFFEE,EASY_FOOD,RESTAURANT,MUSEUM,BOOKSTORE,BREAKFAST,CONVENIENCE,SWEETS,THEATER,COMMON_RESTAURANT,,,,,False,True,False,,,,
48,University of Florida,2,50,BREAKFAST,COMMON_RESTAURANT,BEAUTY,MUSEUM,VENUE,GROCERY,EASY_FOOD,Salon / Barbershop,ART,PUB,0.0,0.0,742.0,2.0,False,True,True,0.0,0.0,0.0,0.0
49,University of Georgia,2,51,GYM,ART,VENUE,COFFEE,FANCY_BAR,MUSEUM,STADIUM,EASY_FOOD,Student Center,Tea Room,27450.0,27450.0,432.0,2.0,False,True,True,0.0,0.0,27450.0,27450.0
50,University of Illinois at Urbana-Champaign,2,52,COFFEE,STADIUM,ART,MUSEUM,GYM,EASY_FOOD,RESTAURANT,NOVEL_RESTAURANT,COMMON_RESTAURANT,BOOKSTORE,31760.0,31760.0,4854.0,15.0,False,True,False,1.0,7163.0,24597.0,31688.0
51,University of Miami,2,53,COMMON_RESTAURANT,EASY_FOOD,BREAKFAST,GYM,COFFEE,SELF_CARE,CONVENIENCE,JUICE,PUB,MUSEUM,70906.0,70906.0,1631.0,16.0,True,True,False,19.0,28679.0,42227.0,65596.0
52,University of Michigan - Ann Arbor,5,54,EASY_FOOD,RESTAURANT,COFFEE,THEATER,PUB,NOVEL_RESTAURANT,BREAKFAST,COMMON_RESTAURANT,ART,MUSEUM,30298.0,30298.0,2107.0,7.0,False,True,True,0.0,0.0,30298.0,30298.0
