University,Arts & Crafts Store,Clothing Store,Gift Shop,Park,Salon / Barbershop,Smoke Shop,Student Center,Tea Room,MUSEUM,BOOKSTORE,COMMON_RESTAURANT,NOVEL_RESTAURANT,RESTAURANT,GYM,THEATER,STADIUM,VENUE,LIQUOR,PUB,FANCY_BAR,TRAIL,HISTORIC,SQUARE,BEAUTY,ART,FANCY_FOOD,JUICE,EASY_FOOD,GROCERY,SWEETS,CONVENIENCE,BREAKFAST,COFFEE,SELF_CARE,Cluster Label
Carnegie Mellon University,0,0,0,1,0,0,0,0,2,1,5,0,7,0,1,0,1,0,0,0,0,0,2,1,2,0,0,6,0,1,0,0,6,0,1
Case Western Reserve University,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,4,2,0,0,3,3,1,2
Claremont McKenna College,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,0,3,1,1
Colgate University,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,2
College of William and Mary,0,0,0,0,0,0,0,0,1,0,4,0,1,0,1,0,0,0,2,0,0,1,2,1,1,0,0,2,0,0,1,0,2,0,1
Colorado College,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,2,0,2,1,2
Columbia University,0,0,0,4,1,0,0,1,1,0,9,6,6,2,1,0,0,1,2,0,1,1,0,1,1,0,1,7,2,1,5,1,6,0,5
Cooper Union,0,1,1,0,0,0,0,0,0,2,11,7,14,6,1,0,1,2,3,2,0,0,0,0,0,0,1,7,4,8,0,2,8,6,4
Cornell University,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,0,1,0,1,1,0,0,1,2,1,0,0,4,0,0,1,0,8,0,1
Dartmouth College,0,2,0,1,0,0,0,0,1,2,3,2,4,0,1,0,2,0,1,0,0,0,2,0,1,1,0,4,0,2,3,2,4,0,1
Duke University,0,0,0,0,0,0,0,0,2,0,3,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,2
Emory University,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,4,0,2
Georgetown University,0,0,0,3,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,0,2,0,0,2,0,0,0,6,1,0,3,1,5,0,5
